level;code;name;parent;indicator;label;unit;value;period;inherited_from;source;tables
kunta;009;Alavieska;North Ostrobothnia;flood_mapped;Flood-mapped share of the area;% of land;59.19;2025;;Suomen ympäristökeskus (Syke) — tulvavaaravyöhykkeet, perusskenaariot (CC BY 4.0);climate/flood
kunta;009;Alavieska;North Ostrobothnia;radon_mean;Radon, mean;Bq/m³;75.0;2023;;Säteilyturvakeskus (STUK) — radon pientaloissa 2023 (CC BY 4.0);climate/radon
kunta;009;Alavieska;North Ostrobothnia;radon_median;Radon, median;Bq/m³;48.0;2023;;Säteilyturvakeskus (STUK) — radon pientaloissa 2023 (CC BY 4.0);climate/radon
kunta;009;Alavieska;North Ostrobothnia;radon_over300;Radon over 300 Bq/m³;% of measurements;3.0;2023;;Säteilyturvakeskus (STUK) — radon pientaloissa 2023 (CC BY 4.0);climate/radon
kunta;009;Alavieska;North Ostrobothnia;projects_upcoming;Transport projects under way or decided;projects;0.0;2026;;Väylävirasto — hanketiedot (CC BY 4.0), plus the curated major projects in data/external/infra_fi.csv;infra/index
kunta;009;Alavieska;North Ostrobothnia;stations_planned_1200m;Transport projects within 1.2 km;projects;0.0;2026;;Väylävirasto — hanketiedot (CC BY 4.0), plus the curated major projects in data/external/infra_fi.csv;infra/index
kunta;009;Alavieska;North Ostrobothnia;dw_pre1980;Dwellings in buildings built before 1980;% of dwellings;24.77;2026;;Ryhti-rakennustietojärjestelmä — avoimet_rakennukset (Suomen ympäristökeskus, CC BY 4.0);ryhti/avoimet_rakennukset
kunta;009;Alavieska;North Ostrobothnia;bld_m2_per_dwelling;Floor area per dwelling;m²;70.1;2026;;Ryhti-rakennustietojärjestelmä — avoimet_rakennukset (Suomen ympäristökeskus, CC BY 4.0);ryhti/avoimet_rakennukset
kunta;010;Alavus;South Ostrobothnia;growth;Population growth;% / yr;-1.35;2025;;Tilastokeskus vaerak 11re (kunta, 31 Dec) · Paavo 12f7 (postinumero);vaerak/11re · Postinumeroalueittainen_avoin_tieto:uusin/12f7
kunta;010;Alavus;South Ostrobothnia;income_med;Median income of inhabitants;€ / yr;22846;2024;;Tilastokeskus, Paavo 12f7 / 12f8 (postal code area / municipality);Postinumeroalueittainen_avoin_tieto:uusin/12f7 · Postinumeroalueittainen_avoin_tieto:uusin/12f8
kunta;010;Alavus;South Ostrobothnia;income_hh;Mean household income;€ / yr;44642;2024;;Tilastokeskus, Paavo 12f7 / 12f8 (postal code area / municipality);Postinumeroalueittainen_avoin_tieto:uusin/12f7 · Postinumeroalueittainen_avoin_tieto:uusin/12f8
kunta;010;Alavus;South Ostrobothnia;young;Share aged 20–34;%;11.79;2024;;Tilastokeskus, Paavo 12f7 / 12f8 (postal code area / municipality);Postinumeroalueittainen_avoin_tieto:uusin/12f7 · Postinumeroalueittainen_avoin_tieto:uusin/12f8
kunta;010;Alavus;South Ostrobothnia;single;One-person households;%;42.69;2024;;Tilastokeskus, Paavo 12f7 / 12f8 (postal code area / municipality);Postinumeroalueittainen_avoin_tieto:uusin/12f7 · Postinumeroalueittainen_avoin_tieto:uusin/12f8
kunta;010;Alavus;South Ostrobothnia;renters;Renter households;%;23.29;2024;;Tilastokeskus, Paavo 12f7 / 12f8 (postal code area / municipality);Postinumeroalueittainen_avoin_tieto:uusin/12f7 · Postinumeroalueittainen_avoin_tieto:uusin/12f8
kunta;010;Alavus;South Ostrobothnia;unemp;Unemployment rate;%;11.99;2024;;Tilastokeskus, Paavo 12f7 / 12f8 (postal code area / municipality);Postinumeroalueittainen_avoin_tieto:uusin/12f7 · Postinumeroalueittainen_avoin_tieto:uusin/12f8
kunta;010;Alavus;South Ostrobothnia;higher_ed;Tertiary education;%;21.89;2024;;Tilastokeskus, Paavo 12f7 / 12f8 (postal code area / municipality);Postinumeroalueittainen_avoin_tieto:uusin/12f7 · Postinumeroalueittainen_avoin_tieto:uusin/12f8
kunta;010;Alavus;South Ostrobothnia;flats;Dwellings in blocks of flats;%;9.82;2024;;Tilastokeskus, Paavo 12f7 / 12f8 (postal code area / municipality);Postinumeroalueittainen_avoin_tieto:uusin/12f7 · Postinumeroalueittainen_avoin_tieto:uusin/12f8
kunta;010;Alavus;South Ostrobothnia;avg_m2;Average dwelling size;m²;91.3;2024;;Tilastokeskus, Paavo 12f7 / 12f8 (postal code area / municipality);Postinumeroalueittainen_avoin_tieto:uusin/12f7 · Postinumeroalueittainen_avoin_tieto:uusin/12f8
kunta;010;Alavus;South Ostrobothnia;m2_person;Floor area per person;m²;46.3;2024;;Tilastokeskus, Paavo 12f7 / 12f8 (postal code area / municipality);Postinumeroalueittainen_avoin_tieto:uusin/12f7 · Postinumeroalueittainen_avoin_tieto:uusin/12f8
kunta;010;Alavus;South Ostrobothnia;unemp_m;Unemployment rate, monthly;%;9.7;2026M08;;Tilastokeskus / TEM tyonv 12tf (työnvälitystilasto, monthly);tyonv/12tf
kunta;010;Alavus;South Ostrobothnia;kela;Housing-allowance households;%;6.36;2024;;Kela, yleinen asumistuki, saajaruokakunnat kunnittain (avoindata.suomi.fi, CC BY 4.0) · denominator Tilastokeskus Paavo 12f8 te_taly;kela/yleinen_asumistuki · Postinumeroalueittainen_avoin_tieto:uusin/12f8
kunta;010;Alavus;South Ostrobothnia;price_m2;Old flats, price per m²;€ / m²;1217.0;2025;;Tilastokeskus ashi 13mu (postinumero, yearly) · 13mt (postinumero, quarterly) · 13mx (kunta, yearly);ashi/13mt · ashi/13mu · ashi/13mx
kunta;010;Alavus;South Ostrobothnia;price_sales;Sales of old flats;per year;8;2025;;Tilastokeskus ashi 13mu / 13mt / 13mx (asset transfer tax data from 2020);ashi/13mt · ashi/13mu · ashi/13mx
kunta;010;Alavus;South Ostrobothnia;price_rt;Terraced houses, price per m²;€ / m²;1110.0;2025;;Tilastokeskus ashi 13mu / 13mt (postinumero) · 13mx (kunta);ashi/13mt · ashi/13mu · ashi/13mx
kunta;010;Alavus;South Ostrobothnia;rent;Free-market rent;€ / m² / month;11.21;2026Q2;maakunta;Tilastokeskus asvu 15fa (rents, quarterly);asvu/15fa
kunta;010;Alavus;South Ostrobothnia;rent_obs;Rent observations;dwellings;3399;2026Q2;maakunta;Tilastokeskus asvu 15fa;asvu/15fa
kunta;010;Alavus;South Ostrobothnia;rent_ara;Government-subsidised (ARA) rent;€ / m² / month;10.8;2026Q2;maakunta;Tilastokeskus asvu 15fa;asvu/15fa
kunta;010;Alavus;South Ostrobothnia;rent_yoy;Rent change, year on year;%;0.7;2026Q2;maakunta;Tilastokeskus asvu 15fa, annual change of the rent index;asvu/15fa
